AS번호,접수일시,처리상태,처리완료일,주문번호,고객명,고객연락처,제품명,문제유형,증상설명,처리내용,처리결과,배송비,수리비,부품비,총비용,메모
cmkm5lboa01lfo40saf60do65,2026-01-20T05:28:25.691Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbo701ldo40sdhjf0p4w,2026-01-20T05:28:25.687Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbo301lbo40shfi88008,2026-01-20T05:28:25.684Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbo001l9o40sa08zgt25,2026-01-20T05:28:25.680Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbnw01l7o40so0qbsvd0,2026-01-20T05:28:25.677Z,EXCHANGE,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbnt01l5o40s3bytpfik,2026-01-20T05:28:25.673Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbnp01l3o40srpuvv47l,2026-01-20T05:28:25.669Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbnm01l1o40s3js5wjhc,2026-01-20T05:28:25.666Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbni01kzo40svmd350u3,2026-01-20T05:28:25.663Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbnf01kxo40sben56y3k,2026-01-20T05:28:25.659Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbna01kvo40suxl37mae,2026-01-20T05:28:25.654Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbn701kto40sq1yjqlqx,2026-01-20T05:28:25.651Z,AS,,,,,?3,OTHER,"","",,0,0,0,0,""
cmkm5lbn301kro40sbn10qa7f,2026-01-20T05:28:25.647Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbmz01kpo40shwxmxuqq,2026-01-20T05:28:25.644Z,EXCHANGE,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbmw01kno40smgccoc23,2026-01-20T05:28:25.640Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbms01klo40s97w25p9z,2026-01-20T05:28:25.636Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbmo01kjo40svuirg3u3,2026-01-20T05:28:25.633Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbml01kho40stckdr8c4,2026-01-20T05:28:25.629Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbmh01kfo40sj8egu4fi,2026-01-20T05:28:25.626Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbmd01kdo40s6hjgs2n3,2026-01-20T05:28:25.622Z,EXCHANGE,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbma01kbo40s8mi6vg1h,2026-01-20T05:28:25.618Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbm601k9o40sb0zhdjtd,2026-01-20T05:28:25.614Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbm201k7o40slosvx60q,2026-01-20T05:28:25.610Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbly01k5o40s5cmljqqt,2026-01-20T05:28:25.607Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lblv01k3o40sjc446yvu,2026-01-20T05:28:25.603Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lblr01k1o40sco1tilp4,2026-01-20T05:28:25.600Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbln01jzo40sar39a4ex,2026-01-20T05:28:25.595Z,AS,,,,,?+?,OTHER,"","",,0,0,0,0,""
